"","District","District Name","Vote Date","Total Amount","Type","Yes","No","Result","Brief Description","capital_ref"
"877","2835","Kimberly Area",1996-09-10,5500000,"Issue Debt",1470,1465,"Passed","aquatic center",1
"878","2842","Kohler",2021-04-06,2590000,"Issue Debt",461,319,"Passed","Improvements to outdoor athletic facilities and related site improvements.",1
"879","2842","Kohler",1995-04-04,275000,"Issue Debt",480,323,"Passed","ADA remod",1
"880","2842","Kohler",1997-04-01,1e+05,"Issue Debt",412,326,"Passed","renovate libraries",1
"881","2842","Kohler",1997-04-01,50000,"Issue Debt",439,299,"Passed","convert classrooms to science lab",1
"882","2842","Kohler",2003-06-10,9800000,"Issue Debt",488,509,"Failed","additions/renovations to and remodeling of existing facilities including site preparation and improvements, furnishings and equipment, architectural, engineering and bond issuance costs",1
"883","2842","Kohler",2003-10-07,9800000,"Issue Debt",655,550,"Passed","addition/renovations to and remodel existing district facilities, including site prep and improvements, acquire furnishings/equipment, related engineering/engineering/bond issuance costs",1
"884","2849","La Crosse",2004-09-14,17625000,"NR - 2004",5716,5134,"Passed","$400,000 per year for technology, $600,000 for building repairs and maintenance, $2,525,000 for educational programs",1
"885","2849","La Crosse",2004-11-02,38100000,"Issue Debt",15876,16431,"Failed","repairs and renovations",1
"886","2849","La Crosse",2008-04-01,20875000,"NR - 2009",5701,4993,"Passed","maintaining educational programs; maintaining District facilities; and replacing technology",1
"887","2849","La Crosse",2008-04-01,3.5e+07,"Issue Debt",5144,5417,"Failed","paying the cost of adding to, renovating and upgrading existing school facilities including HVAC, safety, and security systems; closing and demolishing the Franklin Elementary School; closing the Roosevelt Elementary School; constructing and equipping a new replacement elementary school on the Franklin Elementary School site.",1
"888","2849","La Crosse",2008-11-04,18500000,"Issue Debt",21527,10295,"Passed","adding to, renovating and upgrading existing school facilities including HVAC, safety and security systems",1
"889","2849","La Crosse",2012-11-06,15700000,"Issue Debt",21779,10639,"Passed","Constructing and equipping an elementary school",1
"890","2849","La Crosse",2018-04-03,20875000,"NR - 2019",7393,2408,"Passed","Exceed the revenue limit by $4,175,000 per year for five years for non-recurring purposes consisting of maintaining educational programs, maintaining district facilities and maintaining and replacing technology.",1
"891","2849","La Crosse",2022-11-08,194700000,"Issue Debt",8535,19173,"Failed","Issue general obligation bonds in an amount not to exceed $194,700,000 for the public purpose of paying the cost of acquisition of land for and construction of a consolidated high school and renovations and improvements to the current high school buildings for conversion into middle schools",1
"892","2849","La Crosse",1995-05-20,1040000,"Issue Debt",1985,9259,"Failed","Q2: hs pool",1
"893","2849","La Crosse",1995-05-20,20715000,"Issue Debt",2255,9013,"Failed","Q1: new hs",1
"894","1848","Lac Du Flambeau #1",1997-10-14,3120000,"Issue Debt",677,654,"Passed","add classrooms to elementary school",1
"895","2856","Ladysmith",2022-04-05,2.1e+07,"Issue Debt",598,424,"Passed","$21,000,000 for Capital Improvements at the middle and high school.  Roof replacement at the elementary school.",1
"896","2856","Ladysmith",2001-11-06,11200000,"Issue Debt",577,532,"Passed","various remodeling, expansion, repair, improvement projects at HS; replace portion of and remodel MS; renovation of ES; construct replacement of non-gym portion of and renovate ES; demolition work, land, furnishings, fixtures and equipment",1
"897","2863","Lafarge",2005-04-05,220000,"Issue Debt",328,107,"Passed","asbestos abatement in the middle school area and refinancing the District state trust fund loans drawn in 2002 to finance roof repairs",1
"898","2863","Lafarge",2008-11-04,250000,"RR - 2009",513,351,"Passed","maintaining and improving instructional materials, programs and staff, replacing technology equipment, updating facility equipment and maintaining the current School District facilities.",1
"899","2863","Lafarge",2015-04-07,5600000,"Issue Debt",244,329,"Failed","Improvements and additions to the Districts K-12 building.",1
"900","2863","Lafarge",2015-04-07,1920000,"Issue Debt",216,354,"Failed","Construction of a community wellness facility addition to K-12 building.",1
"901","2863","Lafarge",1994-10-04,2500000,"Issue Debt",173,410,"Failed","add to bld & ADA",1
"902","2863","Lafarge",1995-11-07,1e+06,"Issue Debt",235,121,"Passed","add to bld & ADA",1
"903","2863","Lafarge",1999-04-06,2850000,"Issue Debt",206,262,"Failed","add gym; remodel bldg; athl field lighting, equip.",1
"904","2863","Lafarge",1999-07-06,2810000,"Issue Debt",172,291,"Failed","add gym. Remodel e.s; jr & sr hi; athl field lights, equip",1
"905","2863","Lafarge",2000-11-07,2250000,"Issue Debt",390,389,"Passed","general remodeling of existing buildings; construct/equip locker room/fitness room to all buildings.",1
"906","2863","Lafarge",2003-11-04,720000,"Issue Debt",138,265,"Failed","improvments and upgrades to district facilities and upgrade library holdings",1
"907","3862","Lake Country",1997-04-01,1950000,"Issue Debt",320,251,"Passed","addition & remodel facilities",1
"908","3862","Lake Country",2001-04-03,7e+05,"Issue Debt",445,470,"Failed","purchase parcel of land",1
"909","2885","Lake Geneva J1",2006-09-12,7e+06,"Issue Debt",1162,617,"Passed","building improvements projects, furnishings, fixtures, equipment",1
"910","2885","Lake Geneva J1",2021-04-06,750000,"RR - 2021",1594,978,"Passed","$750,000 rr consisting of ongoing operational expenses, technology, safety to maintain current educational programming?",1
"911","2885","Lake Geneva J1",2000-09-12,3e+06,"Issue Debt",964,412,"Passed","additition to Star Center",1
"912","2885","Lake Geneva J1",1996-12-03,1.1e+07,"Issue Debt",NA,NA,"Failed","new ms",1
"913","2885","Lake Geneva J1",1997-05-20,13600000,"Issue Debt",995,746,"Passed","new middle school",1
"914","2884","Lake Geneva-Genoa UHS",2006-09-12,1.2e+07,"Issue Debt",1365,993,"Passed","construct addition to and replacement, remodeling, and improvement projects at Badger High School building and site; furnishings, fixtures and equipment",1
"915","2884","Lake Geneva-Genoa UHS",2021-04-06,6e+06,"Issue Debt",2165,1423,"Passed","$6,000,000 paying cost of renovations, capital maintenance and updates at the school facilities and site",1
"916","2884","Lake Geneva-Genoa UHS",2021-04-06,750000,"RR - 2021",2128,1470,"Passed","750000 for recurring purposes consisting of ongoing operational expenses, technology and safety upgrades and maintain current educational programming",1
"917","2884","Lake Geneva-Genoa UHS",1996-02-06,1.8e+07,"Issue Debt",1031,1805,"Failed","expand & remod hs",1
"918","2884","Lake Geneva-Genoa UHS",1996-12-03,1.8e+07,"Issue Debt",NA,NA,"Failed","expand & remod hs",1
"919","2884","Lake Geneva-Genoa UHS",1997-05-20,1.8e+07,"Issue Debt",1195,1050,"Passed","expand & remod hs",1
"920","2884","Lake Geneva-Genoa UHS",2002-06-04,4600000,"Issue Debt",529,563,"Failed","construct performing arts center addition; roof repair, maintenance renovation and site improvement projects at Badger HS, construct technical education storage facility, acquire equipment, furnishings, fixtures.",1
"921","2884","Lake Geneva-Genoa UHS",2003-04-01,4600000,"Issue Debt",1788,1444,"Passed","new construction (Performing Arts Center), remodeling, equipment",1
"922","2891","Lake Holcombe",2006-11-07,270000,"NR - 2007",532,554,"Failed","Rebuild Wood Boiler, Replace Domestic Hot Water Coil to Wood Boiler, Science Lab Update/Upgrade, Flooring Update/Upgrade, and Technology Update/Upgrade",1
"923","2891","Lake Holcombe",2007-04-03,190000,"NR - 2007",380,399,"Failed","Science room update and renovation; wood boiler update, technology update, and domestic hot water return.",1
"924","2891","Lake Holcombe",2011-11-08,950000,"Issue Debt",240,362,"Failed","To finance the remodeling, furnishing, and equipping of the gymnasium and science room addition of the District's existing school building and refunding obligations of the District issued to finance the District's unfunded prior service liability contributions under the Wisconsin Retirement System.",1
"925","2891","Lake Holcombe",1997-11-04,1525000,"Issue Debt",196,261,"Failed","add to and remodel high school",1
"926","2891","Lake Holcombe",1998-11-03,1685000,"Issue Debt",554,408,"Passed","improvements to buildings, technology, playground equip.",1
"927","2898","Lake Mills Area",2007-04-03,22100000,"Issue Debt",1023,1140,"Failed","Constructing additions to and remodeling, renovating and improving the Middle and High School and sites; and acquiring furnishings, fixtures and equipment.",1
"928","2898","Lake Mills Area",2007-04-03,3e+06,"NR - 2007",1068,1082,"Failed","For operation and maintenance costs; technology replacements and additions; instructional staff and materials; and the cost of street assessments.",1
"929","2898","Lake Mills Area",2007-10-02,15330000,"Issue Debt",751,843,"Failed","Constructing additions to and remodeling, renovating and improving the Lake Mills Middle School and athletic fields",1
"930","2898","Lake Mills Area",2007-10-02,5100000,"Issue Debt",683,908,"Failed","Constructing additions to and remodeling, renovating and improving the Lake Mills High School and athletic fields.",1
"931","2898","Lake Mills Area",2007-10-02,2e+06,"NR - 2008",760,841,"Failed","Maintenance, technology upgrades and replacements.",1
"932","2898","Lake Mills Area",2008-11-04,15600000,"Issue Debt",2891,2008,"Passed","adding to, improving, remodeling and renovating the middle school and acquiring related equipment",1
"933","2898","Lake Mills Area",2011-09-13,1200000,"Issue Debt",191,558,"Failed","paying the cost of improving, repairing and upgrading the gym building and site",1
"934","2898","Lake Mills Area",2012-11-06,18700000,"Issue Debt",2634,2550,"Passed","Demolition of old elementary school and construction of new elementary school.",1
"935","2898","Lake Mills Area",2018-11-06,6900000,"Issue Debt",3152,1777,"Passed","Building Classroom Additions and Remodeling to the Lake Mills High School",1
"936","2898","Lake Mills Area",2018-11-06,2490000,"Issue Debt",2510,2396,"Passed","Improvements to existing outdoor athletic areas and construction and equipping of a multi-purpose outdoor facility at the High School",1
"937","2898","Lake Mills Area",2022-11-08,4.4e+07,"Issue Debt",2214,2987,"Failed","New intermediate building on district-owned land",1
"938","2898","Lake Mills Area",2022-11-08,950000,"RR - 2024",2302,2894,"Failed","Operational referendum for ongoing expenditures associated with a new intermediate school",1
"939","2898","Lake Mills Area",1997-09-23,2200000,"Issue Debt",415,1700,"Failed","pool at high school",1
"940","2898","Lake Mills Area",1997-09-23,16700000,"Issue Debt",435,1697,"Failed","new high school, renovate existing buildings",1
"941","2898","Lake Mills Area",1998-11-03,10950000,"Issue Debt",1188,1841,"Failed","add to & remodel school facilities; equip. & technology",1
"942","2898","Lake Mills Area",2000-05-16,10900000,"Issue Debt",918,1468,"Failed","construct additions, remodel, renovate, improve sites; acquire/install/ equip & technology; refund o/s obligations",1
"943","2898","Lake Mills Area",2000-11-07,2340000,"NR",2054,2007,"Passed","renovate, improve, expand, remodel HS",1
"944","2898","Lake Mills Area",2003-11-04,2500000,"Issue Debt",740,482,"Passed","various capital projects including maintaining and upgrading existing school facilities and acquire equipment and technology",1
"945","3647","Lakeland UHS",1996-11-05,10550000,"Issue Debt",4665,3410,"Passed","new cafeteria, gym & remodel high school",1
"946","2940","Laona",1995-05-18,2200000,"Issue Debt",236,217,"Passed","elem add & ADA improvements",1
"947","2961","Lena",2003-02-18,3e+06,"Issue Debt",445,233,"Passed","construct/equip addition to ES building and MS/HS building, thereby connecting 2 buildings; renovate/equip existing space at ES, MS, HS; perform major repairs and improvements at both buildings; bond issuance costs, architectural and engineering fees",1
"948","3087","Linn J4",2001-02-20,4250000,"Issue Debt",78,126,"Failed","classroom/gymnasium addition and renovations",1
"949","3087","Linn J4",2001-06-19,3250000,"Issue Debt",166,143,"Passed","classroom addition, gymnasium, and renovating current building",1
"950","3094","Linn J6",2011-04-05,3900000,"Issue Debt",180,200,"Failed","paying the cost of repair, replacement and improvement projects to Reek Elementary School including projects to improve energy efficiency, update technology infrastructure and acquire furnishings, fixtures, and equipment",1
"951","3094","Linn J6",2011-10-18,3900000,"Issue Debt",183,187,"Failed","paying the cost of repair, replacement and improvement projects to Reek Elementary School including projects to improve energy efficiency, update technology infrastructure and acquire furnishings, fixtures, and equipment",1
"952","3094","Linn J6",2012-11-06,2800000,"Issue Debt",338,264,"Passed","Paying the cost of repair, replacement and improvement projects to Reek Elementary School including projects to improve energy efficiency, update technology infrastructure and acquiring land, furnishings, fixtures and equipment",1
"953","3129","Little Chute Area",2007-02-20,9700000,"Issue Debt",776,572,"Passed","Constructing addition to and remodeling and renovating elementary school; remodeling and renovating MS/HS complex",1
"954","3129","Little Chute Area",2017-04-04,17770000,"Issue Debt",643,494,"Passed","Paying the cost of a school building and improvement program at the Intermediate/Middle/High School campus - includes infrastructure and site improvements, renovations and remodeling of specified areas, and construction of an addition",1
"955","3129","Little Chute Area",1996-03-19,15275000,"Issue Debt",1041,627,"Passed","new ms",1
"956","3150","Lodi",2008-11-04,2625000,"NR - 2009",2489,2291,"Passed","maintaining and improving instructional programs and staff, replacing technology software and equipment, updating facility equipment and maintaining the current School District facilities",1
"957","3150","Lodi",2014-04-01,2850000,"NR - 2014",1117,1030,"Passed","Funding general operations, technology and curriculum, and facility maintenance and improvements.",1
"958","3150","Lodi",2016-11-08,2.2e+07,"Issue Debt",2897,2480,"Passed","Construction of new primary school and improvement of other facilities",1
"959","3150","Lodi",2016-11-08,9e+06,"Issue Debt",2277,3075,"Failed","Construction/expansion of high school gym, wrestling room, and weight room",1
"960","3150","Lodi",1997-04-01,1695000,"Issue Debt",1310,1044,"Passed","new pool facility",1
"961","3150","Lodi",1997-04-01,18525000,"Issue Debt",1463,926,"Passed","new high sch, remodel hs & el sch",1
"962","3171","Lomira",2014-02-18,2.4e+07,"Issue Debt",757,730,"Passed","Paying the cost of demolition work on portions of the K-12 school building in Lomira to provide for rebuilding and renovation of the buidling, including constructing additional classrooms, a new cafeteria and kitchen, new office areas, a gymnasium and a remodeled weight room; making energy improvements; upgrading Science labs and HVAC system; upgrading bathrooms and storage areas; relocating and constructiong a new District athletic field; and acquiring furnishings, fixtures and equipment.",1
"963","3171","Lomira",1995-02-21,7800000,"Issue Debt",632,508,"Passed","ADA & life safety imprvmnts, gym & library",1
"964","3206","Loyal",2022-04-05,11700000,"Issue Debt",305,514,"Failed","REFERENDUM TO APPROVE BUILDING IMPROVEMENTS",1
"965","3206","Loyal",1996-10-08,1800000,"Issue Debt",355,164,"Passed","building and remodeling",1
"966","3206","Loyal",2003-04-01,550000,"Issue Debt",651,238,"Passed","refinance temporary borrowing incurred to replace roof in the PK-12 facility; pay cost of replacing boiler, electrical upgrades to district building, furnishings, fixtures, equipment",1
"967","3213","Luck",2012-11-06,1200000,"Issue Debt",1234,538,"Passed","Repairs and Remodeling",1
"968","3213","Luck",2019-04-02,1500000,"NR - 2019",534,296,"Passed","Purposes consisting of maintaining current levels of educational programming and operational costs.",1
"969","3213","Luck",1995-12-02,2e+06,"Issue Debt",292,53,"Passed","finish 2nd story of elem add & a phy ed add",1
"970","3213","Luck",2001-10-23,7830000,"Issue Debt",304,473,"Failed","school building and improvement program; repairs/maintenance, remodeling, equipment, partial demolition and reconstruction",1
"971","3213","Luck",2002-11-05,7985000,"Issue Debt",759,799,"Failed","partial demolition, reconstruction, remodeling, equipping, fire protection improvements, deferred maintenance projects, site improvements, bus garage renovation, acquisition of buses",1
"972","3213","Luck",2004-04-06,2500000,"Issue Debt",502,267,"Passed","new roof for school facility, repair/replace HVAC system, electrical and plumbing improvements, install fire alarm system improvements, construct playground improvements and other site improvements",1
"973","3220","Luxemburg-Casco",2008-04-01,18500000,"Issue Debt",1238,1965,"Failed","for the public purpose of paying the cost of acquiring land, and making school improvements including expanding and remodeling the high school and primary school; demolishing the oldest portion of the middle school and expanding and remodeling it; remodeling the intermediate school; and acquiring furnishings, fixtures and equipment.",1
"974","3220","Luxemburg-Casco",2010-11-02,2760000,"Issue Debt",2316,2177,"Passed","paying the cost of various building maintenance projects including upgrading HVAC systems at the Intermediate School and Middle School; replacing windows and installing walls at the Intermediate School and installing fire alarm system at the Middle School",1
"975","3220","Luxemburg-Casco",2010-11-02,5905000,"Issue Debt",1651,2803,"Failed","paying the cost of constructing and equipping a gymnasium addition at the high school and replacing the soccer field and making other site improvements",1
"976","3220","Luxemburg-Casco",2010-11-02,5905000,"Issue Debt",1651,2803,"Failed","construct gym and re-locate soccer field",1
"977","3220","Luxemburg-Casco",2011-04-05,4900000,"Issue Debt",1278,2618,"Failed","Construct & equip gym; related site improvements; relocate and reconstruct soccer field",1
"978","3220","Luxemburg-Casco",2018-04-03,11900000,"Issue Debt",2086,1766,"Passed","the construction and equipping of an addition to the High School to create an attached middle school; and conversion of the current Middle School to an alternative high school.",1
"979","3220","Luxemburg-Casco",2018-04-03,15900000,"Issue Debt",2491,1372,"Passed","construction of additions at the High School for a new gymnasium and a secure main entrance; construction of additions at the Primary School for a secure main entrance and classrooms; upgrades and improvements to the High School technical education and family and consumer science space and weight room; districtwide site and facility improvements; and acquisition of furnishings, fixtures and equipment.",1
"980","3269","Madison Metropolitan",2005-05-24,14500000,"Issue Debt",20357,23245,"Failed","Construct new elementary school",1
"981","3269","Madison Metropolitan",2006-11-07,23565000,"Issue Debt",70517,31568,"Passed","Acquire site, build new elementary school; add to existing elementary school; refinance older debt",1
"982","3269","Madison Metropolitan",2015-04-07,4.1e+07,"Issue Debt",45765,9924,"Passed","Improvements, Additions, and Renovations to Existing Schools.",1
"983","3269","Madison Metropolitan",1995-02-21,29500000,"Issue Debt",17243,18205,"Failed","new southside ms, 3.4 mil auditm at West hs, 3.1 outdoor ath at LaFol hs, elem add, distwide upgrades",1
"984","3269","Madison Metropolitan",1995-05-23,18100000,"Issue Debt",13536,12212,"Passed","new ms & other projects",1
"985","3269","Madison Metropolitan",1997-02-18,6700000,"Issue Debt",26327,16708,"Passed","add to Marquette MS & improve other buildings",1
"986","3269","Madison Metropolitan",1999-11-09,340000,"RR - 2001",11554,10086,"Passed","operating costs of new e.s.",1
"987","3269","Madison Metropolitan",1999-11-09,19933000,"NR",16024,5662,"Passed","maintenance of facilities",1
"988","3276","Manawa",2008-04-01,4800000,"NR - 2008",258,894,"Failed","general operations to maintain educational programs, and to replace, maintain, and/or upgrade school district technology",1
"989","3276","Manawa",2009-04-07,3e+06,"NR - 2009",590,937,"Failed","maintain the operation of the School District that is necessary due to decreased funding",1
"990","3276","Manawa",2018-11-06,1.2e+07,"Issue Debt",1188,859,"Passed","Building and Site renovations",1
"991","3276","Manawa",2018-11-06,365000,"NR - 2019",1046,943,"Passed","Former Elementary School demolition",1
"992","3276","Manawa",2019-04-02,3500000,"Issue Debt",461,640,"Failed","To build a new gymnasium and add additional floor space to the fitness center.",1
"993","3276","Manawa",1994-10-18,9200000,"Issue Debt",500,357,"Passed","new bld & remod",1
"994","3290","Manitowoc",2014-11-04,1e+06,"RR - 2014",6435,8587,"Failed","To maintain current educational programs and services.",1
"995","3290","Manitowoc",2014-11-04,4e+05,"RR - 2014",7229,7697,"Failed","To meet technological needs such as updating classroom technology and replacing aging computers.",1
"996","3290","Manitowoc",2015-04-07,3e+06,"NR - 2015",4916,3846,"Passed","Referendum to exceed the revenue limit for non-recurring purposes to maintain  current programs  and services",1
"997","3290","Manitowoc",2015-04-07,1800000,"NR - 2015",5408,3335,"Passed","Referendum to exceed the revenue limit for non-recurring purposes to address major maintenance and security needs (including updating security cameras, lighting, windows, asbestos abatement, and roofs).",1
"998","3290","Manitowoc",2015-04-07,1200000,"NR - 2015",5027,3672,"Passed","To exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, for the  2015-2016 school year through the 2017-2018 school year by $400,000 a year, to update classroom technology and replace existing technology and replace existing computers.",1
"999","3290","Manitowoc",1997-02-18,2.5e+07,"Issue Debt",3504,1301,"Passed","Construct & Add to HS, MS, Elm Schools",1
"1000","3290","Manitowoc",1998-04-07,3500000,"Issue Debt",3502,5486,"Failed","add to & remodel school facilities to provide lunch program",1
"1001","3290","Manitowoc",2004-02-17,1400000,"Issue Debt",5577,4392,"Passed","expand, remodel, upgrade school facilities and acquire equip/vehicles to complement school lunch program",1
"1002","3297","Maple",2006-06-06,3.2e+07,"Issue Debt",856,1046,"Failed","School building program needed to meet steadily rising enrollments; replace aged and failing building systems; meet code requirements; replace obsolete structures; and upgrade or replace educationally obsolete classroom square footage.",1
"1003","3297","Maple",2018-04-03,1746000,"NR - 2018",1027,1132,"Failed","Referendum to exceed the revenue limit by $582,000 each year for three years beginning with the 2018-19 school year for non-recurring purposes consisting of maintaining current programs and services, retaining staff, and updating technology education (shop) equipment.",1
"1004","3297","Maple",1996-05-18,5995000,"Issue Debt",1103,826,"Passed","new ms, remod",1
"1005","3297","Maple",2001-05-22,1.9e+07,"Issue Debt",950,1568,"Failed","construct/equip new HS; construct/equip addition to/remodeling of MS; construct PE/athletic facilities at new HS; construct/equip transportation/office building; acquire land",1
"1006","1897","Maple Dale-Indian Hill",2009-04-07,4e+06,"Issue Debt",972,465,"Passed","Repairing, updating and maintaining school facilities and technology infrastructure",1
"1007","1897","Maple Dale-Indian Hill",2019-04-02,16370000,"Issue Debt",1028,733,"Passed","Security entrances, updating building systems, renovations and maintaining school facilities",1
"1008","3304","Marathon City",2005-02-15,6900000,"Issue Debt",1004,920,"Passed","Additions to and remodeling and renovating the high school, acquiring furnishings, fixtures and equipment",1
"1009","3304","Marathon City",2018-11-06,4265000,"Issue Debt",1211,1066,"Passed","Renovations and construction of an addition at Marathon Elementary/Marathon Venture Academy, safety & security upgrades and construction of secure entrances, building infrastructure, capital maintenance and site improvements, acquiring furnishings, fixtures and equipment at Marathon Elementary, Marathon Venture Academy and Marathon High School",1
"1010","3304","Marathon City",1996-02-06,1710000,"Issue Debt",272,162,"Passed","hs remod, ADA",1
"1011","3311","Marinette",2020-11-03,30920000,"Issue Debt",4072,3254,"Passed","Construction of additions and improvements at Merryman Elementary School and Park Elementary School; remodeling and improvements at Middle School and High School; and acquisition of furnishings, fixtures, and equipment.",1
"1012","3311","Marinette",1998-10-06,6865000,"Issue Debt",1355,1636,"Failed","performing arts center and fitness center",1
"1013","3311","Marinette",1998-10-06,2.8e+07,"Issue Debt",1660,1384,"Passed","add to middle school, remodel other bldgs, technology",1
"1014","3311","Marinette",1999-04-06,5955260,"Issue Debt",1934,2443,"Failed","high school auditorium and gymnasium",1
"1015","3318","Marion",2023-04-04,6900000,"Issue Debt",559,584,"Failed","Capital referendum not to exceed $6,900,000.00 to support safety & security upgrades, capital maintenance, building infrastructure & building systems improvements and furnishings, fixtures & equipment.",1
"1016","3318","Marion",1996-11-05,2600000,"Issue Debt",860,800,"Passed","renovations/additions/technology",1
"1017","3325","Markesan",2010-04-06,5600000,"NR - 2010",1103,1023,"Passed","Maintaining current educational programs and facilities and paying operating costs.",1
"1018","3325","Markesan",2013-04-02,3760000,"NR - 2014",582,1089,"Failed","To maintain school district programs and operations",1
"1019","3325","Markesan",2014-04-01,2780000,"NR - 2014",766,867,"Failed","To Maintain school district programs and operations",1
"1020","3325","Markesan",2014-08-12,2780000,"NR - 2014",1225,676,"Passed","To Maintain School District Programs and Operations",1
"1021","3325","Markesan",2018-04-03,4380000,"NR - 2018",898,502,"Passed","To maintain School District programs and operations",1
"1022","3325","Markesan",2022-04-05,3800000,"NR - 2022",724,397,"Passed","To maintain School District programs and operations",1
"1023","3325","Markesan",1998-04-07,9900000,"Issue Debt",843,702,"Passed","high school addition; remodel other bldgs; equipment",1
"1024","3332","Marshall",2012-11-06,1500000,"NR - 2013",1497,1349,"Passed","Maintain class size, upgrade and improve technology and maintenance, repair and improvement projects.",1
"1025","3332","Marshall",2016-02-16,2625000,"NR - 2016",740,495,"Passed","Operational needs consisting of maintaining reasonable class sizes; sustaining academic, co-curricular and athletic programs; supporting student access to technology; and continued maintenance of district facilities.",1
"1026","3332","Marshall",2019-04-02,875000,"RR - 2019",770,528,"Passed","Reclassify existing/retiring non-recurring authority of $875,000 per year for the purposes of maintaining current academic, athletic and co-curricular programs; retaining and recruiting staff; and updating instructional resources, technology and facilities.",1
"1027","3332","Marshall",2019-04-02,1125000,"NR - 2019",770,528,"Passed","Seek permission to exceed the revenue limits on a non-recurring basis for the 2019-20, 2020-21 & 2021-22 school years by $375,000 per year for the purposes of maintaining current academic, athletic and co-curricular programs; retaining and recruiting staff; and updating instructional resources, technology and facilities.",1
"1028","3332","Marshall",1996-05-07,11200000,"Issue Debt",566,379,"Passed","new hs,  add to early ed center",1
"1029","3332","Marshall",2002-02-19,10185000,"Issue Debt",853,343,"Passed","construct/equip new elementary school including district office space",1
"1030","3339","Marshfield",2005-04-05,21300000,"Issue Debt",5211,3529,"Passed","Repair/Replace School Buildings",1
"1031","3339","Marshfield",2023-04-04,99500000,"Issue Debt",3952,5425,"Failed","Shall the Unified School District of Marshfield, Wood, Marathon and Clark Counties, Wisconsin be authorized to issue pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $99,500,000 for the public purpose of paying the cost of a district-wide school building and facility improvement project consisting of:  construction of additions, including for a secure entrance, career and tech ed space, classrooms, student services, and cafeteria/commons and fitness areas, renovations and capital maintenance, building systems, infrastructure and site improvements at Marshfield High School; capital maintenance and building systems improvements at Marshfield Middle School; renovations and building systems, infrastructure, safety and site improvements at the elementary schools; and acquisition of furnishings, fixtures and equipment?",1
"1032","3339","Marshfield",2002-04-02,3e+06,"NR",4825,3009,"Passed","sustatin educational programs, replace technology equipment and perform building and site maintenance",1
"1033","3339","Marshfield",2003-04-01,31400000,"Issue Debt",3484,4339,"Failed","demolish Madison Elementary School and construct new facility; construct addition to/remodel/renovate Lincoln and Washington Elem Schools; improvement projects at Grant Elem School; demolish Marshfield Junior High and construct new Middle School; addition to and improvement projects at Marshfield High School, furniture,fixtures and equipment",1
"1034","3339","Marshfield",2004-04-06,25610000,"Issue Debt",3764,4044,"Failed","acquire land, demolition costs, construct 2 new elementary schools, construct additions to and remodel/maintenance/improvement projects at Lincoln ES, Marshfield Junior High and Marshfield High Schools, equipment/furnishings/fixtures",1
"1035","3360","Mauston",2020-11-03,54800000,"Issue Debt",2756,2133,"Passed","To replace West Side Elementary with a new Elementary School; Safety & Site Improvements, updates to all buildings.",1
"1036","3360","Mauston",1994-09-13,7e+06,"Issue Debt",678,1535,"Failed","add tech ed wing to hs & new k-2",1
"1037","3360","Mauston",1996-05-14,7e+06,"Issue Debt",746,846,"Failed","add teck ed wing to hs & new k-2",1
"1038","3360","Mauston",1996-08-01,6900000,"Issue Debt",NA,NA,"Failed","new builidng",1
"1039","3360","Mauston",1999-04-06,26825000,"Issue Debt",1265,1097,"Passed","new high school; add to & remodel hs,ms & es",1
"1040","3360","Mauston",2000-04-04,7e+05,"RR - 2000",843,806,"Passed","operating costs of new H.S.",1
"1041","3367","Mayville",2015-04-07,19300000,"Issue Debt",1073,1262,"Failed","Renovation of high school building & site",1
"1042","3367","Mayville",2015-04-07,3700000,"Issue Debt",944,1379,"Failed","Construction, equipping and furnishing of a gymnasium addition to the Mayville High School",1
"1043","3367","Mayville",2017-04-04,24500000,"Issue Debt",1215,1202,"Passed","Referendum not to exceed $24,500,000 for the construction, equipping and furnishing of additions to the Mayville High School, including new Agricultural Science and Technical Education classrooms and new physical education facilities; site improvements at Mayville High School; and renovations and infrastructure improvements and safety and security upgrades at Parkview Elementary School, Mayville Middle School and Mayville High School.",1
"1044","3367","Mayville",1995-10-03,7e+06,"Issue Debt",627,691,"Failed","new ms on existing vacant site",1
"1045","3367","Mayville",1995-12-19,7e+06,"Issue Debt",889,837,"Passed","new ms on existing vacant site",1
"1046","3381","McFarland",2016-11-08,65150000,"Issue Debt",2890,1498,"Passed","District-wide Facilities Improvements",1
"1047","3381","McFarland",2016-11-08,232000,"RR - 2017",2776,1584,"Passed","Operational Costs associated with expanded facilities",1
"1048","3381","McFarland",2016-11-08,1104000,"RR - 2017",2946,1410,"Passed","Operational costs associated with maintaining current educational programming",1
"1049","3381","McFarland",1997-05-20,16040000,"Issue Debt",1176,933,"Passed","remodeling & new construction",1
"1050","3381","McFarland",1997-11-04,348000,"RR",1105,836,"Passed","exceed revenue cap for new el. sch. operations",1
"1051","3381","McFarland",1997-11-04,11385000,"Issue Debt",1210,786,"Passed","new elementary school",1
"1052","3409","Medford Area",2009-04-07,13190000,"Issue Debt",1155,2411,"Failed","paying the cost of adding to and improving the high school facility; acquiring related equipment; and making related site improvements",1
"1053","3409","Medford Area",2011-04-05,10600000,"Issue Debt",1543,3026,"Failed","To pay the cost of constructing and equipping an addition to the high school to provide a pool and gymnasium and related remodeling and site improvements.",1
