"District","District Name","Vote Date","Total Amount","Type","Yes","No","Result","Brief Description","capital_ref","op_ref"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3430","Menasha",1992-06-25,"3140000","Issue Debt",1324,1094,"Passed",NA,NA,NA
"3430","Menasha",1998-04-07,"5500000","Issue Debt",2313,607,"Passed","improve facilities and technology upgrades",1,NA
"3430","Menasha",2000-04-04,"103500","RR - 2000",2117,804,"Passed","funding of police school liaison officer program",NA,NA
"3430","Menasha",2001-04-03,"16175000","Issue Debt",2401,1214,"Passed","improving facilities and sites; replacing Clovis Grove Elem. School",1,NA
"3430","Menasha",2001-04-03,"6e+05","RR - 2001",1992,1583,"Passed","preserve district's technology investment by replacing aging computers and upgrade information systems",NA,NA
"3434","Menominee Indian",2022-04-05,"3.5e+07","Issue Debt",769,284,"Passed",NA,NA,NA
"3434","Menominee Indian",1997-11-04,"7300000","Issue Debt",285,256,"Passed","add to and renovate elementary schools",1,NA
"3437","Menomonee Falls",2005-04-05,"19340000","Issue Debt",3339,3909,"Failed","capital improvements at seven district facilities",1,NA
"3437","Menomonee Falls",2006-11-07,"18650000","Issue Debt",8640,4787,"Passed","Issue bonds for the public purpose of expanding the High School to accommodate 9th grade students",NA,NA
"3437","Menomonee Falls",2006-11-07,"4900000","Issue Debt",9020,4277,"Passed","various remodeling, renovation and improvement projects at Benjamin Franklin, Riverside, Shady Lane, and Valley View Elemetary Schools and Thomas Jefferson Middle School",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3437","Menomonee Falls",2016-04-05,"32700000","Issue Debt",7320,5791,"Passed","$32,700,000 for the public purpose of paying the cost of a district-wide facility improvement program",NA,NA
"3437","Menomonee Falls",2016-04-05,"3750000","RR - 2016",6203,6792,"Failed","Exceed the revenue limit by $1,250,000 in the 2016-2017 school year and by an additional $1,250,000 a year in each of the 2017-2018 and 2018-2019 school years for a total of $3,750,000 for the 2018-2019 school year and remain at $3,750,000 each year going forward, for recurring purposes consisting of safeguarding learning opportunities and sustaining class size.",NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3437","Menomonee Falls",2017-04-04,"6400000","NR - 2017",3749,3981,"Failed","RESOLUTION PROVIDING FOR A REFERENDUM ELECTION
ON THE QUESTION OF THE APPROVAL
OF A RESOLUTION AUTHORIZING THE SCHOOL DISTRICT BUDGET
TO EXCEED REVENUE LIMIT
FOR THREE YEARS FOR NON-RECURRING PURPOSES 
(ENDING IN THE 2019-2020 SCHOOL YEAR)",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3437","Menomonee Falls",1994-09-13,"4600000","Issue Debt",3259,1496,"Passed","remod",1,NA
"3437","Menomonee Falls",1999-04-06,"10250000","Issue Debt",3948,1637,"Passed","remodeling at North Jr. High; equip. & furnishings",1,NA
"3437","Menomonee Falls",2004-02-17,"19815000","Issue Debt",3882,5526,"Failed","new elementary school, remodel/maintenance/improvements at 4 other schools",1,NA
"3444","Menomonie Area",2007-05-15,"2655000","NR - 2007",1263,2459,"Failed","maintaining instructional services and programs",1,NA
"3444","Menomonie Area",2013-04-02,"2.5e+07","Issue Debt",2342,1363,"Passed","Site improvements, repair, maintenance and replacement upgrades at all District buildings, and acquiring furnishings, fixtures, and equipment.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3444","Menomonie Area",2013-04-02,"1.1e+07","Issue Debt",2156,1575,"Passed","Additional construction and improvement projects at the High School and River Heights Elementary School.",1,NA
"3444","Menomonie Area",1998-12-05,"8900000","Issue Debt",1741,689,"Passed","add to & remodel high school",1,NA
"3444","Menomonie Area",1991-12-17,"6900000","Issue Debt",2084,1442,"Passed",NA,NA,NA
"3444","Menomonie Area",1993-12-14,"1.8e+07","Issue Debt",1761,1877,"Failed",NA,NA,NA
"3444","Menomonie Area",1994-04-05,"11300000","Issue Debt",2000,2488,"Failed","new MS, add & remod HS",1,NA
"3444","Menomonie Area",1995-12-02,"3800000","Issue Debt",2284,1800,"Passed","Q 2: new elem",1,NA
"3444","Menomonie Area",1995-12-02,"13500000","Issue Debt",2417,1721,"Passed","Q 1: new ms, & remod hs",1,NA
"3479","Mequon-Thiensville",2015-04-07,"18200000","Issue Debt",4553,2924,"Passed","Remodeling & renovations at all district buildings.",1,NA
"3479","Mequon-Thiensville",2020-04-07,"55700000","Issue Debt",6166,4492,"Passed","Referendum for the purpose of paying the cost of a District-wide school facilities imporvement project consisting of:  District-wide safety, security, site and ADA improvements and renovations; construction of additions at the Elementary and Middle Schools and acquisitions of furnishings, fixtures and equipment.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3479","Mequon-Thiensville",1998-06-02,"2.8e+07","Issue Debt",3108,2156,"Passed","renovation project at high school",1,NA
"3479","Mequon-Thiensville",2006-02-21,"7500000","NR - 2006",3300,4373,"Failed","non-recurring purposes",NA,NA
"3484","Mercer",2006-04-04,"750000","NR - 2006",596,182,"Passed","RESOLUTION AUTHORIZING THE SCHOOL DISTRICT BUDGET TO EXCEED REVENUE LIMIT BY $250,000.00 ON A NON-RECURRING BASIS.",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3484","Mercer",2008-11-04,"1750000","NR - 2009",710,302,"Passed","maintain District educational programs, technology, and facilities",1,NA
"3484","Mercer",2013-02-19,"650000","RR - 2013",430,230,"Passed","Annually maintaining educational programs, technology, and facilities",1,NA
"3484","Mercer",2023-04-04,"2235000","NR - 2023",365,393,"Failed","A nonrecurring levy to support operations, programs and facilities of the Mercer School District.",1,NA
"3484","Mercer",2002-04-02,"625000","NR",172,258,"Failed","maintain educational programs and facilities",1,NA
"3484","Mercer",2002-04-02,"3e+05","Issue Debt",264,179,"Passed","replace existing boiler heating plant at K-12 building with an energy efficient unit and replacement of steam heating portion with the hot water system along with asbestos removal from piping and related improvements",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3484","Mercer",2002-11-05,"420000","NR",501,315,"Passed","maintain educational programs and facilities",1,NA
"3500","Merrill Area",2008-02-19,"2915000","RR - 2008",2049,5116,"Failed","General Operations",NA,NA
"3500","Merrill Area",2009-04-07,"2125000","RR - 2009",1836,3153,"Failed","General Operations",NA,NA
"3500","Merrill Area",2018-04-03,"1e+07","NR - 2018",2891,1730,"Passed","Referendum to Exceed revenue limits by $2.5 million per year for four years on a non-recurring basis.",NA,NA
"3500","Merrill Area",2022-04-05,"1e+07","NR - 2022",1786,2359,"Failed","This referendum is a continuation of the prior non-recurring referendum passed four years ago for the purpose of operations and maintenance in the amount of $2,500,000 annually.",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3500","Merrill Area",2022-11-08,"1e+07","NR - 2023",4095,4479,"Failed","Four Year Non-Recurring referendum in the amount of $2,500,000 per year beginning with the 23-24 school year.",NA,NA
"3500","Merrill Area",1993-04-06,"14200000","Issue Debt",2167,3795,"Failed",NA,NA,NA
"3500","Merrill Area",1994-09-13,"2700000","Issue Debt",1230,901,"Passed","basically a maintenance referndum, includes 2 elev at m.s.",NA,NA
"3500","Merrill Area",1995-02-21,"7600000","Issue Debt",1161,3812,"Failed","new elem, hs renov",1,NA
"3500","Merrill Area",1996-09-10,"29700000","Issue Debt",3333,1957,"Passed","new elementary, remodel & additions to ms & hs",1,NA
"3500","Merrill Area",2001-11-13,"8500000","Issue Debt",825,1783,"Failed","construct addition, remodeling, maintaining, equipping elementary schools  including updating existing facilities and replace and add new classrooms, computer labs, IMCs, provide handicapped access, demolish portions of existing facilities and improve sites",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3528","Merton Community",2001-04-03,"4060000","Issue Debt",526,370,"Passed","acquire land, demolition, addition to Merton primary school and Merton intermediate school; furnishings, fixtures, equipment",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3528","Merton Community",1995-10-03,"5300000","Issue Debt",594,165,"Passed","60,000 sq ft K-3 satelite school",NA,NA
"3528","Merton Community",2008-11-04,"3e+06","Issue Debt",2055,1374,"Passed","renovating, remodeling, improving and maintaining school buildings and grounds; upgrading technology infrastructure and the telephone systems; and acquiring and installing related fixtures and equipment; and making replacements",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3549","Middleton-Cross Plains",1994-10-11,"3.5e+07","Issue Debt",2378,2723,"Failed","elem & M.S. & H.S.-",NA,NA
"3549","Middleton-Cross Plains",1995-04-04,"18500000","Issue Debt",2683,5159,"Failed","Q2: new hs & land purchace",1,NA
"3549","Middleton-Cross Plains",1995-04-04,"18400000","Issue Debt",4507,3430,"Passed","Q1: new elem & ms, & hs imprv",1,NA
"3549","Middleton-Cross Plains",1993-02-16,"4900000","Issue Debt",2018,2490,"Failed",NA,NA,NA
"3549","Middleton-Cross Plains",1999-10-05,"35950000","Issue Debt",3099,4200,"Failed","construct/equip addition & new alternative h.s., kitchen",1,NA
"3549","Middleton-Cross Plains",1999-10-05,"4e+05","RR",3112,4173,"Failed","add'l operating costs due to construction project",1,1
"3549","Middleton-Cross Plains",1999-10-05,"1900000","RR - 2002",3112,4173,"Failed","add'l operating costs due to construction project",1,1
"3549","Middleton-Cross Plains",2000-05-23,"1500000","RR - 2002",4226,3924,"Passed","recurring purposes",NA,NA
"3549","Middleton-Cross Plains",2000-05-23,"4e+05","RR - 2001",4226,3924,"Passed","recurring purposes",NA,NA
"3549","Middleton-Cross Plains",2000-05-23,"30900000","Issue Debt",4260,3893,"Passed","construction and equipping of additions and improvements to HS, construct/equip new alternative HS, central prep kitchen; construct/improve athletic/phy ed field and facilities",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3549","Middleton-Cross Plains",2000-05-23,"860000","Issue Debt",4087,4050,"Passed","construct add'tl seating capacity in proposed larger group instruction addition to the existing HS",1,NA
"3549","Middleton-Cross Plains",2000-05-23,"1068000","Issue Debt",3797,4338,"Failed","construct additional phy ed stations in proposed fieldhouse/multipurpose addition to existing HS",1,NA
"3549","Middleton-Cross Plains",2005-10-11,"36475000","Issue Debt",2515,4753,"Failed","Construction and equipping of a new shared elementary and middle school, and site acquisition",1,NA
"3549","Middleton-Cross Plains",2005-10-11,"5800000","Issue Debt",2510,4754,"Failed","New Transportation Center",1,NA
"3549","Middleton-Cross Plains",2005-10-11,"3098000","RR - 2006",2298,4967,"Failed","Capital maintenance projects and transportation center - $800,000
New school operating costs - $2,298,000",1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3549","Middleton-Cross Plains",2005-10-11,"8325000","Issue Debt",3737,3521,"Passed","Construction of additions to three elementary schools, and mechanical system replacement at two elementary schools",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3549","Middleton-Cross Plains",2008-04-01,"3900000","Issue Debt",4131,2306,"Passed","New Transportation Center",1,NA
"3549","Middleton-Cross Plains",2009-04-07,"34750000","Issue Debt",4766,5677,"Failed","New Elementary, additions at Glacier Creek Middle School and Park Elementary School and safety and security improvements",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3549","Middleton-Cross Plains",2009-04-07,"1975000","RR - 2009",4693,5726,"Failed","Funding for instructional materials and instructional technology and operating expenses for new elementary school",1,1
"3549","Middleton-Cross Plains",2009-04-07,"33980000","Issue Debt",5008,5425,"Failed","Remodeling, rebuilding and equipping Kromrey Middle School",1,NA
"3549","Middleton-Cross Plains",2012-11-06,"59860000","Issue Debt",14797,6848,"Passed","Construction, partial remodeling, and equipping of Kromrey Middle School as well as construction of an addition to and the remodeling and equipping of Glacier Creek Middle School",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3549","Middleton-Cross Plains",2012-11-06,"797000","RR - 2014",13881,7953,"Passed","recurring purposes consisting of operating expenses resulting from the addition to Glacier Creek Middle School and the construction of Kromrey Middle School",1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3549","Middleton-Cross Plains",2018-11-06,"138900000","Issue Debt",15928,6968,"Passed","construction and equipping of a new elementary; construction and equipping of an addition, remodel, demolition, and reconstruction at Middleton High School; construction and equipping of a new cafeteria at Park Elementary School; and remodel of the current Clark Street Community School for use as an early learning center",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3549","Middleton-Cross Plains",2018-11-06,"4800000","RR - 2019",15840,7062,"Passed","exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $2,800,000 for the 2019-2020 school year and by an additional $2,000,000 (for a total of $4,800,000) for the 2020-21 school year and thereafter, for recurring purposes",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3549","Middleton-Cross Plains",2022-11-08,"65470000","NR - 2023",14596,8607,"Passed","Exceed Revenue Limits for four years, non-recurring for the expenses related to ongoing educational and extracurricular programming, and compensation, and other operational expenses.

EXCEED REVENUE LIMIT 
FOR FOUR YEARS FOR NON-RECURRING PURPOSES",NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3612","Milton",1991-09-10,"4995000","Issue Debt",1177,1107,"Passed",NA,NA,NA
"3612","Milton",1992-12-03,"8500000","Issue Debt",1001,1083,"Failed",NA,NA,NA
"3612","Milton",1993-05-04,"1625000","Issue Debt",1935,1484,"Passed",NA,NA,NA
"3612","Milton",1996-05-01,"3200000","Issue Debt",NA,NA,"Failed","parks and swimming pool",1,NA
"3612","Milton",1997-11-18,"7250000","Issue Debt",1757,660,"Passed","add to and remodel high school",1,NA
"3612","Milton",2001-11-06,"1300000","RR - 2002",950,1330,"Failed","operating costs to minimize add'tl budget cuts; retain low class sizes; student achievement focus",NA,1
"3612","Milton",2001-11-06,"851615","NR",1031,1245,"Failed","increase fund balance",NA,NA
"3612","Milton",2004-11-02,"4460000","Issue Debt",5219,3055,"Passed","construct addition to and remodel and renovate Harmony Elementary School",1,NA
"3612","Milton",2004-11-02,"482933","RR - 2005",4871,3383,"Passed","operational costs associated with expanding Harmony Elementary school and reducing class sizes",NA,1
"3612","Milton",2004-11-02,"1200000","NR - 2005",4954,3280,"Passed","capital improvements to district's buildings and grounds and for computer technology projects at various buildings and sites",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3612","Milton",2016-11-08,"12500000","NR - 2016",5758,5228,"Passed","Exceed revenue cap for operational needs.",NA,1
"3612","Milton",2016-11-08,"8.7e+07","Issue Debt",5324,5639,"Failed","Issue general obligation bonds for ADA requirements, capital improvements, renovations to reconfigure grade levels in all buildings, convert current high school to middle school, construct new high school with swimming pool, and acquire furnishings and fixtures.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3612","Milton",2017-11-07,"69900000","Issue Debt",2686,3311,"Failed","Issue general obligation bonds for a District-wide school building and improvement program.",NA,NA
"3612","Milton",2019-04-02,"59900000","Issue Debt",3528,3147,"Passed","INITIAL RESOLUTION AUTHORIZING GENERAL OBLIGATION BONDS IN AN AMOUNT NOT TO EXCEED $59,900,000",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3612","Milton",2020-11-03,"12500000","NR - 2021",6300,6257,"Passed","Exceed the revenue cap for general operational needs.",NA,1
"3612","Milton",2023-04-04,"9500000","RR - 2023",2907,4463,"Failed","Authorization to increase the review limit by $4,000,000 for the 2023-2024 school year; by an additional $1,000,000 (for a total of $5,000,000) for the 2024-2025 school year; by an additional $1,000,000 (for a total of $6,000,000) for the 2025-2026 school year; and by an additional $3,500,000 for the 2026-2027 school year (for a total of $9,500,000 and to remain at this amount), for recurring purposes consisting of ongoing educational programming, staffing and maintenance expenses.",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3619","Milwaukee",1993-02-16,"3.66e+08","Issue Debt",NA,NA,"Failed",NA,NA,NA
"3619","Milwaukee",2020-04-07,"8.7e+07","RR - 2020",67112,19381,"Passed","RESOLUTION AUTHORIZING THE SCHOOL
DISTRICT BUDGET TO EXCEED REVENUE
LIMIT FOR RECURRING PURPOSES",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3633","Mineral Point",1991-05-01,"875000","Issue Debt",221,124,"Passed",NA,NA,NA
"3633","Mineral Point",1994-04-05,"8200000","Issue Debt",1000,674,"Passed","new 6-12",1,NA
"3633","Mineral Point",2002-04-02,"295000","Issue Debt",360,303,"Passed","construct/equip agricultural shop facility",1,NA
"3633","Mineral Point",2008-09-09,"3980000","NR - 2009",358,571,"Failed","To exceed revenue limit for Non-Recurring Purposes",NA,NA
"3633","Mineral Point",2009-04-07,"1e+06","NR - 2009",896,588,"Passed","To maintain educational programs, facilities and equipment of the District.",1,NA
"3633","Mineral Point",2012-04-03,"1100000","RR - 2012",1007,503,"Passed","Paying the costs of maintaining the educational programs, facilities, and equipment of the District.",1,NA
"3633","Mineral Point",2018-11-06,"350000","RR - 2019",1239,881,"Passed","Paying the costs of maintaining ongoing operational expenses.",1,1
"3633","Mineral Point",2018-11-06,"11920000","Issue Debt",1138,988,"Passed","Paying the cost of a school building and improvement program; renovating and updating existing elementary school; improving parking, bus lane, and stormwater; securing lobby, office and classroom addition; constructing a gym and physical education addition.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3633","Mineral Point",2019-04-02,"19500000","Issue Debt",547,1181,"Failed","Paying the cost of constructing and equipping a new elementary school on the existing middle/high school campus",1,NA
"3640","Minocqua J1",1996-12-03,"995000","Issue Debt",287,260,"Passed",NA,NA,NA
"3640","Minocqua J1",2000-05-09,"1800000","Issue Debt",347,422,"Failed","building addition",NA,NA
"3640","Minocqua J1",2000-05-09,"480000","Issue Debt",280,486,"Failed","athletic fields",1,NA
"3640","Minocqua J1",2000-11-07,"2145000","NR",1925,1798,"Passed","non recurring expenses",NA,NA
"3640","Minocqua J1",2006-02-21,"977000","RR - 2006",913,782,"Passed","To improve and maintain operations of the District.",1,NA
"3661","Mishicot",1995-11-07,"1150000","Issue Debt",691,897,"Failed","Q 3: aud",NA,NA
"3661","Mishicot",1995-11-07,"1350000","Issue Debt",726,859,"Failed","Q 2: pool",1,NA
"3661","Mishicot",1995-11-07,"7450000","Issue Debt",1063,578,"Passed","Q 1: add & remod elem, ms, hs (lib, gym, greenhouse, clsrms)",1,NA
"3661","Mishicot",1996-03-19,"990000","Issue Debt",810,1100,"Failed","Q2: aud",NA,NA
"3661","Mishicot",1996-03-19,"1385000","Issue Debt",880,1058,"Failed","Q1: pool",1,NA
"3661","Mishicot",1996-11-01,"2400000","Issue Debt",NA,NA,"Failed","new building",1,NA
"3661","Mishicot",2016-04-05,"1e+07","Issue Debt",1606,846,"Passed","Issue GO bonds in an amount not to exceed $10,000,000 for the public purpose of paying the cost of a school improvement program at District buildings consisting of:  technology improvements, plumbing, HVAC and electrical infrastructure improvements; student instructional spaces, restroom, office, corridor, athletic space and kitchen renovations and remodeling; a locker room addition and renovations; door replacement; and acquisition of furnishings, fixtures and equipment.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3668","Mondovi",1997-12-06,"1415000","Issue Debt",404,927,"Failed","Library",1,NA
"3668","Mondovi",1997-12-06,"140000","RR",563,782,"Failed","Exceed revenue limits",NA,NA
"3668","Mondovi",1997-12-06,"6800000","Issue Debt",602,743,"Failed","Add  to & remodel h.s. m.s. and e.s.",1,NA
"3668","Mondovi",1998-04-07,"130000","RR",753,859,"Failed","exceed revenue limits for operating expenses",NA,1
"3668","Mondovi",1998-04-07,"6800000","Issue Debt",833,803,"Passed","add to and remodel elem. M.S. and H.S.",1,NA
"3668","Mondovi",1998-11-03,"130000","RR",702,1174,"Failed","exceed rev limits for op & maint, recurring, 99-00",NA,NA
"3668","Mondovi",2011-04-05,"1500000","Issue Debt",921,498,"Passed","paying the cost of school district building improvements including roof, boiler and asbestos floor tile replacement and refinancing two State Trust Fund Loans issued for roofing projects",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3668","Mondovi",2014-11-04,"9e+05","NR - 2015",1318,854,"Passed","To pay District operating costs to maintain instructional programs and technology",1,1
"3668","Mondovi",2018-04-03,"1350000","NR - 2018",893,506,"Passed","Resolution to exceed revenue cap by $450,000 each year commencing with the 2018-19 school year and ending with the 2020-2021 school year.",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3668","Mondovi",2018-11-06,"1.8e+07","Issue Debt",1417,944,"Passed","Capital Improvement referendum not to exceed $18,000,000",1,NA
"3675","Monona Grove",1994-09-13,"4500000","Issue Debt",1490,784,"Passed","new elem 63000 sq ft",1,NA
"3675","Monona Grove",1997-02-18,"19820000","Issue Debt",1962,2139,"Failed","new high school",1,NA
"3675","Monona Grove",1997-06-03,"1630000","Issue Debt",1852,1886,"Failed","pool facility",1,NA
"3675","Monona Grove",1997-06-03,"20920000","Issue Debt",2232,1569,"Passed","new high school",1,NA
"3675","Monona Grove",1997-06-03,"915000","Issue Debt",2575,1150,"Passed","roof repair and asbestos abatement projects",1,NA
"3675","Monona Grove",1997-11-04,"1630000","Issue Debt",1258,1215,"Passed","swimming pool at high school",1,NA
"3675","Monona Grove",1998-11-03,"5800000","Issue Debt",2758,3207,"Failed","computer hardware,L945 software & infrastructure improve.",NA,NA
"3675","Monona Grove",1999-04-06,"4700000","Issue Debt",1777,2390,"Failed","computer hardware & software; infrastructure improve.",NA,NA
"3675","Monona Grove",2002-04-02,"4e+05","Issue Debt",2356,1232,"Passed","parcel of land not to exceed 45.6 acres",1,NA
"3675","Monona Grove",2002-04-02,"4200000","Issue Debt",2322,1270,"Passed","various repair, replacement, improvement projects at Winnequah MS, several ES, furnishings fixtures and equipment",1,NA
"3675","Monona Grove",2002-04-02,"730000","Issue Debt",1720,1858,"Failed","bleacher and press box replacement at HS athletic fields",1,NA
"3675","Monona Grove",2005-02-15,"39900000","Issue Debt",2003,3363,"Failed","School Construction and renovation.",1,NA
"3675","Monona Grove",2005-02-15,"527000","RR - 2006",2080,3247,"Failed","Referendum to exceed the Revenue Cap for the cost of staffing and operating new and expanded facilities.",1,1
"3675","Monona Grove",1997-02-18,"1755000","Issue Debt",1812,2265,"Failed","Construct an auditorium on the proposed new high school",1,NA
"3675","Monona Grove",1997-02-18,"1615000","Issue Debt",1610,2353,"Failed","Construct a swimming pool as part of the proposed new high school",1,NA
"3675","Monona Grove",2006-04-04,"28690000","Issue Debt",3637,2535,"Passed","construct a 5-8 school facility in Cottage Grove, including a district-wide middle school for grades 7-8. Also, would include site improvement projects at Winnequah Middle School, Maywood Elementary School, and Cottage Grove Elementary School.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3675","Monona Grove",2006-04-04,"432992","RR - 2008",3451,2690,"Passed","on-going operational cost associated with the construction of a new 5-8 school facility.",1,1
"3675","Monona Grove",2016-04-05,"1.3e+07","NR - 2016",5027,3162,"Passed","Shall  the  Monona  Grove  School  District,  Dane  County,  Wisconsin  be authorized  to  exceed the revenue limit specified in Section 121.91, Wisconsin Statutes,  by up to $2,600,000 per year for a period of five years on a non-recurring  basis beginning with the 2016-2017 school year, and ending  with the 2020-2021  school  year, for the purpose of funding  School District operations, including,   but   not   limited   to,   costs   associated   with   curriculum,   technology,   personnel, maintenance, equipment purchases, and facility improvements.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3675","Monona Grove",2018-11-06,"5.7e+07","Issue Debt",6107,4230,"Passed","Issue debt in the amount of $57,000,000 to build a new elementary school in Cottage Grove, renovations to District facilities, safety and security upgrades, and capital maintenance.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3675","Monona Grove",2018-11-06,"930000","RR - 2019",5989,4346,"Passed","To exceed revenue limits by $930,000 on a recurring basis beginning with the 2019-2020 school year for the purpose of paying operational and maintenance expenses of the District, including any additional costs associated with the new elementary school.",1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3675","Monona Grove",2020-11-03,"14800000","NR - 2021",7279,4898,"Passed","3,700,000 per year for four years beginning with the 2021-2022 school year and ending with the 2024-2025 school year, for non-recurring purposes consisting of maintaining current programs and staff and operational expenses",1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3675","Monona Grove",2023-04-04,"13800000","RR - 2023",5047,3661,"Passed","Authorization to exceed the revenue limit by $6,000,000 for the 2023-2024 school year; by an additional $1,600,000 for the 2024-2025 school year; and an additional $6,200,000 for the 2025-2026 school year and there after for recurring purposes consisting of maintaining current programs and staff and operation expenses.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3682","Monroe",1996-11-05,"34500000","Issue Debt",NA,NA,"Failed","new building",1,NA
"3682","Monroe",1998-11-03,"797500","RR",2832,2188,"Passed","exceed rev cap, recurring, for staff & maint, 1999-2000",NA,NA
"3682","Monroe",1998-11-03,"24915000","Issue Debt",3142,2007,"Passed","add to & remodel h.s;m.s; e.s. and ADA improvements",1,NA
"3682","Monroe",2007-04-03,"8350000","NR - 2007",2865,1739,"Passed","Exceed Revenue Limit for Non-Recurring Purposes",NA,NA
"3682","Monroe",2011-04-05,"8e+06","NR - 2011",1780,2593,"Failed","Resolution Authorizing the School District Budget to Exceed Revenue Limit for Non-Recurring Purposes.",NA,NA
"3682","Monroe",2016-11-08,"4500000","NR - 2016",4903,2599,"Passed","Maintain Educational Services and Programming",1,NA
"3682","Monroe",2016-11-08,"1380000","NR - 2016",5168,2269,"Passed","Safety, Security, Communications and Maintenance Expenses",NA,NA
"3682","Monroe",2018-11-06,"7500000","NR - 2019",4459,2233,"Passed","Maintain Current Educational Programs and Offerings",1,NA
